Chatflow,Fecha,Pregunta del usuario,Respuesta del bot,clasificacion_nueva,motivo
Punta Cuerna,2026-05-19,Cual es el precio io,"No cuento con información de precios en los documentos que tengo.  

La información de precio es dinámica y puede variar según la etapa del proyecto y la disponibilidad, así que te recomiendo validarlo directamente con u...",descartar,dato_dinamico_comercial
Punta Cuerna,2026-05-19,Precio casa Castilla ,"No cuento con información de precios específicos para la Casa Castilla en los documentos que tengo disponibles.  

La información de precios puede variar según la etapa del proyecto y la disponibilidad, así que te recomi...",descartar,dato_dinamico_comercial
Punta Cuerna,2026-05-19,Precio ,"No cuento con información de precios en los documentos del proyecto.  

La información de precio, promociones y disponibilidad es dinámica y puede cambiar, así que te recomiendo validarla directamente con el área comerci...",mantener_brecha,brecha_accionable
Punta Cuerna,2026-05-19,Si precios ,"Sí manejan precios, pero en los documentos que tengo no aparecen números específicos ni rangos de costo por modelo.

La información de precios es dinámica y puede cambiar según disponibilidad y etapa del proyecto. No cue...",revisar_manual,no_match_no_info_actual
Punta Cuerna,2026-05-20,precios de todas las tipologias,"No cuento con información de precios por tipología en los documentos que tengo disponibles.  

La información de precios, disponibilidad y promociones puede variar según la etapa del proyecto y las actualizaciones comerc...",descartar,dato_dinamico_comercial
Punta Cuerna,2026-05-20,Cuanto,"¿De qué te gustaría saber el “cuánto”?  

Por ejemplo:
- ¿Cuánto cuestan las casas o departamentos?
- ¿Cuánto miden (metros cuadrados)?
- ¿Cuánto tiempo se hace desde CDMX?
- ¿Cuánto se paga de mantenimiento?

Aclárame u...",descartar,aclaracion_no_brecha
Punta Cuerna,2026-05-20,Precio,"No cuento con información de precios en el documento del proyecto.  

La información de costos, promociones y disponibilidad es dinámica y puede cambiar, así que te recomendaría validarla directamente con el área comerci...",mantener_brecha,brecha_accionable
Punta Cuerna,2026-05-20,Cuándo comienza la preventa ,"No cuento con esa información confirmada sobre la fecha de inicio de la preventa.  

La información puede variar según la etapa comercial, así que te recomiendo validarlo directamente con el área comercial del proyecto. ...",descartar,dato_dinamico_comercial
Punta Cuerna,2026-05-20,Infonavit ,"No cuento con información sobre Infonavit dentro de los documentos del proyecto Punta Cuerna.  

La relación con Infonavit (si aplica, montos de crédito, esquemas de pago, etc.) puede variar y es información dinámica. Te...",descartar,dato_dinamico_comercial
Punta Cuerna,2026-05-20,Precios?,"No cuento con información de precios en los documentos que tengo.  

La información puede variar según la etapa y la disponibilidad, así que te recomiendo validar precios directamente con un asesor comercial del proyecto...",descartar,dato_dinamico_comercial
Punta Cuerna,2026-05-20,Ok,"Perfecto 😊  

Por ahora no tengo información de precios en los documentos del proyecto.  
La información de costos y promociones puede cambiar según la etapa y la disponibilidad, así que es algo que el área comercial ac...",descartar,dato_dinamico_comercial
Punta Cuerna,2026-05-20,PRECIOS,"No cuento con información de precios en los documentos que tengo.  

La información de costos y promociones puede variar según la etapa y la disponibilidad, así que te recomiendo validarlo directamente con un asesor come...",descartar,dato_dinamico_comercial
Punta Cuerna,2026-05-20,QUERETARO,"Punta Cuerna Residencial está en **Cuernavaca, Morelos**, pero la desarrolladora Vinte también tiene comunidades en **Querétaro**, entre otros estados, según los documentos.  

No tengo información específica de precios ...",descartar,respuesta_parcial_util
Punta Cuerna,2026-05-20,que tipo de promoción manejan en el departamento alcala,"No cuento con información específica de promociones para el departamento Alcalá en los documentos que tengo a la mano.  

La información de promociones es dinámica y puede variar según la etapa comercial y la disponibili...",descartar,dato_dinamico_comercial
Punta Cuerna,2026-05-21,Precios ,"No cuento con información de precios en los documentos que tengo disponibles.  

La información puede variar según la etapa del proyecto y la disponibilidad, así que te recomiendo validarla directamente con un asesor com...",descartar,dato_dinamico_comercial
Punta Cuerna,2026-05-21,Precio,"No cuento con información de precios en los documentos del proyecto.  

La información de costos, promociones y disponibilidad es dinámica y puede cambiar según la etapa comercial, por lo que es muy importante validarla ...",mantener_brecha,brecha_accionable
Punta Cuerna,2026-05-21,Precio de los departamentos y financiamiento con Infonavit ,"No cuento con información específica de precios de los departamentos ni de las condiciones de financiamiento con Infonavit dentro de los documentos del proyecto.

Además, todos esos datos (precios, mensualidades, enganch...",mantener_brecha,brecha_accionable
Punta Cuerna,2026-05-21,Precios ,"No cuento con información de precios en los documentos que tengo.  

La información de costos, promociones y disponibilidad se actualiza constantemente, por lo que puede variar según la etapa del proyecto. Te recomiendo ...",descartar,dato_dinamico_comercial
Punta Cuerna,2026-05-21,cuales son los precios?,"No cuento con información de precios en los documentos del proyecto.  

La información de costos es dinámica y puede cambiar según la etapa y la disponibilidad, así que te recomiendo validarlo directamente con el área co...",descartar,dato_dinamico_comercial
Punta Cuerna,2026-05-21,si,"Perfecto. Aquí tienes los datos de contacto del proyecto para que un asesor te comparta precios actualizados y promociones vigentes:

Punta Cuerna Residencial  
Ubicación: Calle Barrancas No. 2, Fraccionamiento Punta Cue...",descartar,dato_dinamico_comercial
Punta Cuerna,2026-05-21,Costos de un departamento ,"No cuento con información de costos o rangos de precios en los documentos que tengo disponibles.  

La información de precios puede variar según la etapa del proyecto y la disponibilidad, así que te recomiendo validarlo ...",descartar,dato_dinamico_comercial
Punta Cuerna,2026-05-21,costo casa modelo castilla,"No cuento con información de costo o rango de precios para la casa modelo Castilla en los documentos que tengo disponibles.  

La información de precios y disponibilidad puede variar según la etapa del proyecto y las act...",descartar,dato_dinamico_comercial
Punta Cuerna,2026-05-21,Precios,"No cuento con información de precios en los documentos que tengo.  

La información de costos, promociones y disponibilidad se actualiza constantemente, así que puede variar según la etapa del proyecto. Te recomiendo val...",descartar,dato_dinamico_comercial
Punta Cuerna,2026-05-21,Quisiera saber cuantos departamentos y casas hay ,"No cuento con esa información confirmada en los documentos: ahí solo aparecen los prototipos (Departamentos Alcalá y Cádiz, y Casas Córdoba y Castilla), pero no el número total de unidades.

La cantidad de departamentos ...",descartar,respuesta_parcial_util
Punta Cuerna,2026-05-21,Hay departamentos aún en preventa?,"No cuento con esa información confirmada en los documentos.  

La preventa, la disponibilidad y el inventario de departamentos son datos que cambian constantemente, así que no es posible asegurarte si aún hay departament...",descartar,respuesta_parcial_util
Punta Cuerna,2026-05-22,Soy asesor inmobiliario y me gustaría ser parte de la comunidad vinte ,"Qué bueno que te interese formar parte de la comunidad Vinte 😊  

En los documentos que tengo de Punta Cuerna y Vinte solo aparece información del desarrollo (ubicación, amenidades, prototipos de vivienda y respaldo de ...",descartar,respuesta_parcial_util
Punta Cuerna,2026-05-22,Precio de la casa Casillas,"No cuento con información de precios para la casa Castilla en los documentos que tengo disponibles.  

La información de precios, promociones y disponibilidad puede variar según la etapa comercial, así que te recomiendo ...",descartar,dato_dinamico_comercial
Punta Cuerna,2026-05-22,Cual es el precio de esta casa,"No cuento con información de precios en los documentos que tengo.  

La información de costos puede variar según la etapa del proyecto y la disponibilidad, así que te recomiendo validarlo directamente con un asesor comer...",descartar,dato_dinamico_comercial
Punta Cuerna,2026-05-23,Costo de las casas,"No cuento con información de costos o rangos de precios en los documentos que tengo disponibles.  

La información de precios puede variar según la etapa del proyecto y la disponibilidad, así que te recomiendo validarlo ...",descartar,dato_dinamico_comercial
Punta Cuerna,2026-05-23,Precios,"No cuento con información de precios en los documentos que tengo disponibles.  

La información de precio y disponibilidad es dinámica y puede variar según la etapa del proyecto, promociones y actualización comercial, as...",descartar,dato_dinamico_comercial
Punta Cuerna,2026-05-23,Cuánto cuesta las casa,"No cuento con información de precios en los documentos del proyecto.  

Los costos de las casas pueden variar según el prototipo (Casa Córdoba, Casa Castilla), la ubicación dentro del fraccionamiento y la etapa comercial...",descartar,dato_dinamico_comercial
Punta Cuerna,2026-05-23,Precios ?,"No cuento con información de precios en los documentos que tengo.  

La información de costos puede variar según disponibilidad y actualización comercial; te recomiendo validarlo directamente con un asesor del proyecto p...",descartar,dato_dinamico_comercial
Punta Cuerna,2026-05-23,En mi presupuesto. ,"Entiendo, quieres saber si hay opciones que entren en tu presupuesto.

En la información del proyecto no vienen precios ni rangos, así que no puedo decirte si se ajusta o no a lo que tú tienes considerado. La información...",descartar,respuesta_parcial_util
Punta Cuerna,2026-05-23,Cual es el precio del departamento cadiz,"No cuento con información de precios del departamento Cádiz en los documentos que tengo disponibles.  

Además, los precios son información dinámica y pueden cambiar según la etapa del proyecto y la disponibilidad, así q...",descartar,dato_dinamico_comercial
Punta Cuerna,2026-05-23,Cual es el precio de los 4 modelos,"No cuento con información de precios en los documentos del proyecto.  

La información de costos y rangos de cada modelo (Alcalá, Cádiz, Córdoba y Castilla) puede variar según la etapa y la disponibilidad, así que es alg...",descartar,dato_dinamico_comercial
Punta Cuerna,2026-05-23,Hola precios,"Hola, gracias por escribir 😊  

Sobre precios, no tengo información específica en el documento del proyecto.  

La información de precios, promociones y disponibilidad puede cambiar según la etapa comercial, así que es ...",mantener_brecha,brecha_accionable
Punta Cuerna,2026-05-23,Departamento Alcalá precios ,"Del Departamento Alcalá en el documento solo tengo la distribución, no aparecen precios ni rangos:

- Sala  
- Comedor  
- Cocina  
- 2 recámaras  
- 1 baño completo  
- Área de lavado  
- 1 cajón de estacionamiento  

N...",descartar,respuesta_parcial_util
Punta Cuerna,2026-05-24,Precios,"No cuento con información de precios en los documentos del proyecto.  

La información de costos, promociones y disponibilidad es dinámica y puede variar según la etapa comercial, por lo que te recomiendo validarla direc...",descartar,dato_dinamico_comercial
Punta Cuerna,2026-05-24,Preico de departamento en chipitlan ,"No cuento con información de precios en los documentos que tengo de Punta Cuerna.  

La información de precios y disponibilidad es dinámica y puede variar según la etapa del proyecto y el inventario. Te recomiendo valida...",descartar,dato_dinamico_comercial
Punta Cuerna,2026-05-24,Tipo alcalá ,"El departamento tipo Alcalá en Punta Cuerna tiene la siguiente distribución:

- Sala  
- Comedor  
- Cocina  
- 2 recámaras  
- 1 baño completo  
- Área de lavado  
- 1 cajón de estacionamiento  

No cuento con informaci...",descartar,respuesta_parcial_util
Punta Cuerna,2026-05-24,Horario de atención,"No cuento con información de horarios de atención en los documentos del proyecto.  

La disponibilidad de atención puede variar, así que te recomiendo contactar directamente al equipo comercial de Punta Cuerna para que t...",descartar,dato_dinamico_comercial
Punta Cuerna,2026-05-24,Fotos del departamento tienes?,"En los documentos que tengo no vienen fotos de los departamentos, solo las descripciones de los modelos (Alcalá, Cádiz, Córdoba y Castilla).  

No cuento con esa información específica. Te recomiendo contactar directamen...",descartar,respuesta_parcial_util
Punta Cuerna,2026-05-24,Ya existen los departamentos o solo es el concepto ?,"En los documentos que tengo solo aparece la información del fraccionamiento, las amenidades y los prototipos (Alcalá, Cádiz, Córdoba y Castilla), pero no dice si los departamentos ya están terminados o si están todavía e...",descartar,respuesta_parcial_util
Punta Cuerna,2026-05-24,Q precio tienen los departamentos,"No cuento con información de precios en los documentos del proyecto.  

La información de costos, promociones y disponibilidad puede variar según la etapa comercial, así que te recomiendo validarlo directamente con un as...",descartar,dato_dinamico_comercial
Punta Cuerna,2026-05-24,Cuáles son los costos ,"Por ahora no tengo información de costos ni rangos de precios en los documentos del proyecto.  

La información de precios puede variar según la etapa y la disponibilidad, así que es algo que el área comercial actualiza ...",descartar,dato_dinamico_comercial
Punta Cuerna,2026-05-24,Cuánto cuesta la casa modelo Castilla?,"No cuento con esa información confirmada en los documentos del proyecto.  

Los precios son información dinámica y pueden cambiar según la etapa y la disponibilidad, así que es muy importante validarlo directamente con e...",descartar,dato_dinamico_comercial
Punta Cuerna,2026-05-25,precio de las casas,"No cuento con información de precios en los documentos del proyecto.  

La información de costos, promociones y disponibilidad se considera dinámica y puede cambiar según la etapa comercial, por lo que es importante vali...",mantener_brecha,brecha_accionable
Punta Cuerna,2026-05-25,Precios ,"No cuento con información de precios en los documentos que tengo disponibles.  

La información de costos, promociones y disponibilidad se actualiza constantemente, así que te recomiendo validarlo directamente con un ase...",descartar,dato_dinamico_comercial
Punta Cuerna,2026-05-25,Precio ,"No cuento con información de precios en los documentos que tengo.  

La información de costo y disponibilidad puede variar según la etapa comercial, así que te recomiendo validarlo directamente con un asesor del proyecto...",descartar,dato_dinamico_comercial
Punta Cuerna,2026-05-25,Cuál es el costo y si aceptan crédito Infonavit ,"No cuento con información específica de costos ni de si aceptan crédito Infonavit dentro de los documentos que tengo disponibles.  

Además, esos datos pueden cambiar según la etapa del proyecto y la disponibilidad, así ...",mantener_brecha,brecha_accionable
Punta Cuerna,2026-05-26,Cuál es el costo de una vivienda Castilla?,"No cuento con información de precios para la vivienda Castilla en los documentos que tengo disponibles.  

La inversión puede variar según la etapa comercial y la disponibilidad, así que es muy importante validarlo direc...",descartar,dato_dinamico_comercial
Punta Cuerna,2026-05-26,Que tipo de creditos aceptaran,"No cuento con información confirmada sobre los tipos de créditos que aceptarán en Punta Cuerna.  

La información de financiamiento y créditos es algo que puede variar según las políticas comerciales y la etapa del proye...",descartar,dato_dinamico_comercial
Punta Cuerna,2026-05-26,Me gustaría conocer los precioss,"No cuento con información de precios en los documentos que tengo.  

La información de costos, promociones y disponibilidad se actualiza constantemente, así que puede variar según la etapa del proyecto. Te recomiendo val...",descartar,dato_dinamico_comercial
Punta Cuerna,2026-05-26,YA HAY PREVENTA DE LOS DEPARTAMENTOS ,"No cuento con esa información confirmada en los documentos que tengo.  

La preventa, fechas de lanzamiento y disponibilidad son datos que cambian constantemente.  
Te recomiendo validarlo directamente con el área comerc...",descartar,dato_dinamico_comercial
Punta Cuerna,2026-05-26,Precio de casa Córdoba,"No cuento con información de precios para la casa Córdoba en los documentos que tengo disponibles.  

La información de precios puede variar según la etapa del proyecto y la disponibilidad, así que te recomiendo validarl...",descartar,dato_dinamico_comercial
Punta Cuerna,2026-05-26,Costos y formas de pago,"Sobre costos y formas de pago no tengo información específica en los documentos del proyecto.  

La información de precios, enganches, mensualidades, promociones y esquemas de financiamiento puede variar según la etapa y...",descartar,dato_dinamico_comercial
Punta Cuerna,2026-05-27,Precios ,"No cuento con información de precios en los documentos del proyecto.  

La información de costos, promociones y disponibilidad puede variar según la etapa comercial, así que te recomiendo validarlo directamente con un as...",descartar,dato_dinamico_comercial
Punta Cuerna,2026-05-27,me podra decir el costo de las casas,"No cuento con información de costos o rangos de precios en los documentos que tengo disponibles.  

La información de precios puede variar según la etapa del proyecto y la disponibilidad, así que te recomiendo validarlo ...",descartar,dato_dinamico_comercial
Punta Cuerna,2026-05-27,PRECIOS,"No cuento con información de precios en los documentos del proyecto.  

La información de precios, promociones y disponibilidad se actualiza constantemente, por lo que puede variar según la etapa comercial. Te recomiendo...",descartar,dato_dinamico_comercial
Punta Cuerna,2026-05-27,CUALES SON LOS REQUISTOS PARA ADQUIRIR UNA CASA ,"No cuento con información específica en los documentos sobre los **requisitos para adquirir una casa en Punta Cuerna** (por ejemplo: ingresos mínimos, tipo de crédito, enganche, documentos, etc.).  

Esa información pued...",mantener_brecha,brecha_accionable
Punta Cuerna,2026-05-27,SON ADULTOS DE 19 AÑOS ,"Entonces ya son tres adultos en casa contigo, eso cambia un poco las necesidades y está súper bien que lo estés pensando desde ahora.

En **Casa Castilla** podrían organizarse así:

- **Recámara principal con baño comple...",revisar_manual,no_match_no_info_actual
Punta Cuerna,2026-05-27,PUEDES APOYARME CON LOS PRECIOS APROXIMADOS,"No cuento con información de **precios aproximados** en los documentos de Punta Cuerna.  

Los precios, promociones y disponibilidad son **información dinámica** y pueden cambiar según la etapa del proyecto, así que **no...",descartar,dato_dinamico_comercial
Punta Cuerna,2026-05-28,Cuanto cuestan las casas?,"No cuento con esa información confirmada en los documentos del proyecto.  

Los precios son información dinámica y pueden cambiar según la etapa, la disponibilidad y las actualizaciones comerciales. La información puede ...",descartar,dato_dinamico_comercial
Punta Cuerna,2026-05-28,Al día de hoy cuanto cuesta cada modelo,"No cuento con información de precios por modelo en los documentos del proyecto.  

Además, los precios son información dinámica y pueden cambiar día a día según la etapa y la disponibilidad, así que no podría darte monto...",descartar,dato_dinamico_comercial
Punta Cuerna,2026-05-28,cual es el costo del departamento cadiz,"No cuento con información de precios para el departamento Cádiz en los documentos que tengo disponibles.  

La información de costos puede variar según la etapa del proyecto y la disponibilidad, así que te recomiendo val...",descartar,dato_dinamico_comercial
Punta Cuerna,2026-05-28,Costo,"Los documentos del proyecto no indican costos ni rangos de precio específicos.  

La información de precios es dinámica y puede cambiar según la etapa y la disponibilidad, así que no cuento con esa información confirmada...",mantener_brecha,brecha_accionable
Punta Cuerna,2026-05-28,precios,"No cuento con información de precios en los documentos que tengo.  
La información puede variar según la etapa y la disponibilidad, así que te recomiendo validarlo directamente con el área comercial del proyecto.

Si qui...",descartar,dato_dinamico_comercial
Punta Cuerna,2026-05-28,cuánto cuestan las casas,"No cuento con información de precios en los documentos del proyecto.  

La información de costos puede variar según la etapa y la disponibilidad, así que te recomiendo validarlo directamente con un asesor comercial de Pu...",descartar,dato_dinamico_comercial
Punta Cuerna,2026-05-28,PRECIOS,"No cuento con información de precios en los documentos que tengo a la mano.  

La información de costos, promociones y disponibilidad se actualiza constantemente, así que puede variar según la etapa del proyecto. Te reco...",descartar,dato_dinamico_comercial
Punta Cuerna,2026-05-29,Precio?,"No cuento con información de precios en los documentos.  

La información de costos y promociones se actualiza constantemente, así que puede variar según la etapa y la disponibilidad. Te recomiendo validarlo directamente...",descartar,dato_dinamico_comercial
Punta Cuerna,2026-05-29,En que rango de precio andan estas casas?,"No cuento con información de rangos de precios en los documentos del proyecto.  

Además, los precios son información dinámica y pueden cambiar según etapa, disponibilidad y promociones vigentes.  
Te recomiendo validarl...",descartar,dato_dinamico_comercial
Punta Cuerna,2026-05-29,Quienes pueden adquirir una casa en este desarrollo?,"En los documentos del proyecto no viene definido un perfil específico de quiénes pueden adquirir una casa (por ejemplo: solo residentes de cierto país, solo inversionistas, etc.).  

Lo que sí se menciona es que Punta Cu...",revisar_manual,no_match_no_info_actual
Punta Cuerna,2026-05-30,Precios ,"No cuento con información de precios en los documentos que tengo a la mano.  

La información de costos, promociones y disponibilidad puede variar según la etapa del proyecto, así que te recomiendo validarlo directamente...",descartar,dato_dinamico_comercial
Punta Cuerna,2026-05-30,Precios,"No cuento con información de precios en los documentos que tengo disponibles.  

La información de costos, promociones y disponibilidad es dinámica y puede cambiar según la etapa comercial, así que te recomiendo validarl...",mantener_brecha,brecha_accionable
Punta Cuerna,2026-05-30,Ya puedo comprar ,"Qué bueno que ya estás listo para comprar.  

Sobre si puedes comprar ahora mismo (disponibilidad, apartados, formas de pago, etc.), no cuento con esa información confirmada en los documentos. La disponibilidad y las con...",mantener_brecha,brecha_accionable
Punta Cuerna,2026-05-30,Cuánto cuestan las casas,"No cuento con información de precios en los documentos del proyecto.  

La información de costos puede variar según la etapa y la disponibilidad, así que te recomiendo validarlo directamente con un asesor comercial de Pu...",descartar,dato_dinamico_comercial
Punta Cuerna,2026-05-31,Costo de la vivienda ,"No cuento con información de costos o rangos de precios en los documentos del proyecto.  

La información de precios puede variar según la etapa y la disponibilidad, así que te recomiendo validarlo directamente con el ár...",descartar,dato_dinamico_comercial
Punta Cuerna,2026-05-31,Aceptan creditos?,"No cuento con información confirmada sobre créditos o financiamiento en los documentos que tengo a la mano.  

La información sobre formas de pago, créditos y bancos participantes puede variar según la etapa comercial, a...",descartar,dato_dinamico_comercial
Punta Cuerna,2026-05-31,Puedo ingresar por el puente de la autopista México cuernavaca?,"No cuento con información específica sobre el acceso exacto por el puente de la autopista México–Cuernavaca.  

La ubicación oficial del fraccionamiento es:  
Calle Barrancas No. 2, Fraccionamiento Punta Cuerna, Delegaci...",mantener_brecha,brecha_accionable
Punta Cuerna,2026-05-31,que costo tiene la caasa castilla,"No cuento con información de precios para la Casa Castilla en los documentos que tengo.  

La información de costos puede variar según la etapa del proyecto y la disponibilidad, así que te recomiendo validarlo directamen...",descartar,dato_dinamico_comercial
Punta Cuerna,2026-05-31,¿Cuales son los precios de las cuatro tipos de vivienda?,"No cuento con información de precios en los documentos a los que tengo acceso.  

La información de costos es dinámica y puede variar según la etapa del proyecto y la disponibilidad, así que es muy importante validarla d...",descartar,dato_dinamico_comercial
Punta Cuerna,2026-06-01,Precio ,"No cuento con información de precios en los documentos que tengo disponibles.  

La información de precios, promociones y disponibilidad puede variar según la etapa del proyecto y las actualizaciones comerciales, así que...",descartar,dato_dinamico_comercial
Punta Cuerna,2026-06-01,Información ,"Te cuento lo más importante de Punta Cuerna Residencial:

- **Ubicación:**  
  Calle Barrancas No. 2, Fracc. Punta Cuerna, Delegación Lázaro Cárdenas del Río, C.P. 62076, Cuernavaca, Morelos.  
  A ~10 min del centro de ...",revisar_manual,no_match_no_info_actual
Punta Cuerna,2026-06-01,Ambas ,"Perfecto, entonces te interesan **departamento y casa**.

Con la información que tengo de Punta Cuerna, estas serían tus opciones:

**Departamentos:**
- **Alcalá:**  
  - 2 recámaras  
  - 1 baño completo  
  - Sala, com...",descartar,respuesta_parcial_util
Punta Cuerna,2026-06-01,2 o 3 recámaras ,"Con 2 o 3 recámaras tienes estas opciones dentro de Punta Cuerna:

**Departamentos (2 recámaras):**
- **Alcalá**  
  - 2 recámaras  
  - 1 baño completo  
  - Sala, comedor, cocina  
  - Área de lavado  
  - 1 cajón de e...",descartar,respuesta_parcial_util
Punta Cuerna,2026-06-01,Cádiz y Córdoba ,"Buena elección, son dos prototipos muy prácticos.

### Departamento **Cádiz** (2 recámaras)
- 2 recámaras (una con baño propio)  
- 1 baño completo adicional  
- Sala y comedor  
- Cocina  
- Área de lavado  
- 1 cajón d...",descartar,respuesta_parcial_util
Punta Cuerna,2026-06-01,Cotizar ambos ,"Buenísima combinación: Cádiz y Córdoba.

Yo no puedo generar una cotización formal ni acceso al sistema de precios, y en los documentos no vienen listas de precios, enganches ni mensualidades. Esa información es dinámica...",revisar_manual,no_match_no_info_actual
Punta Cuerna,2026-06-01,Crédito Infonavit ,"Perfecto, con Infonavit sí vale mucho la pena que te armen bien los números.

Yo no tengo en los documentos datos específicos de montos, puntos o condiciones de Infonavit para Punta Cuerna, y esa información es dinámica ...",descartar,captura_contacto_no_brecha
Punta Cuerna,2026-06-01,Precios de sus modelos,"No cuento con información de precios en los documentos del proyecto.  

La información de precios puede variar según la etapa y la disponibilidad, así que es muy importante validarla directamente con el área comercial. T...",descartar,dato_dinamico_comercial
Punta Cuerna,2026-06-01,Aceptan crédito de Infonavit?,"En los documentos que tengo no aparece información sobre tipos de crédito ni convenios con Infonavit u otros organismos.  

No cuento con esa información confirmada y además este tipo de tema puede variar según políticas...",descartar,dato_dinamico_comercial
Punta Cuerna,2026-06-01,Costo de los terrenos ,"No cuento con información del costo de los terrenos en los documentos que tengo disponibles.  

La inversión, precios y disponibilidad son datos que cambian con frecuencia, así que pueden variar según la etapa del proyec...",descartar,dato_dinamico_comercial
Punta Cuerna,2026-06-01,Me pueden dar costos por favor,"No cuento con información de costos en los documentos que tengo a la mano.  

La información de precios puede variar según la etapa y la disponibilidad, así que te recomiendo validarlo directamente con un asesor comercia...",descartar,dato_dinamico_comercial
Punta Cuerna,2026-06-01,aceptan creditos?,"No cuento con esa información confirmada sobre créditos o financiamiento en los documentos del proyecto.  

La información sobre formas de pago, créditos y financiamiento es dinámica y puede variar según la etapa comerci...",descartar,dato_dinamico_comercial
Punta Cuerna,2026-06-01,de acuerdo ,"Perfecto.  

De acuerdo a la información que tengo del proyecto, no se especifican tipos de crédito, financiamiento ni formas de pago para Punta Cuerna.  

No cuento con esa información confirmada y además es algo que pu...",descartar,cierre_social_no_brecha
Punta Cuerna,2026-06-01,Cual es el precio de la Casa Castilla,"No cuento con información de precios para la Casa Castilla en los documentos que tengo disponibles.  

Además, los precios son datos dinámicos y pueden cambiar según la etapa del proyecto y la disponibilidad, por lo que ...",mantener_brecha,brecha_accionable
Punta Cuerna,2026-06-01,dime los precios,"No cuento con información de precios en los documentos del proyecto que tengo disponibles.  

Además, los precios son información dinámica y pueden cambiar según la etapa y la disponibilidad. La información está sujeta a...",descartar,dato_dinamico_comercial
Punta Cuerna,2026-06-01,financiamiento,"En los documentos del proyecto no aparece información específica sobre esquemas de financiamiento para Punta Cuerna.  

Además, todo lo relacionado con créditos, enganches, mensualidades y convenios con bancos es informa...",revisar_manual,no_match_no_info_actual
Punta Cuerna,2026-06-01,formas de pago,"En los documentos de Punta Cuerna no aparece información específica sobre **formas de pago** (por ejemplo: enganche, número de mensualidades, si hay contado, crédito, etc.).  

No cuento con esa información confirmada y ...",descartar,respuesta_parcial_util
Punta Cuerna,2026-06-01,"Si, entiendo que las camas, el comedor, sillas, sillon, television etc no vienen incluidos. Pero quisiera saber si los closets, y el mueble para la co...","No tengo en los documentos una lista de equipamiento tan específica como para confirmar si los closets y el mueble de cocina vienen incluidos en el modelo Alcalá.

Lo único que aparece es la distribución general del depa...",revisar_manual,no_match_no_info_actual
Punta Cuerna,2026-06-01,Que cuesta ?,"No cuento con información de precios en los documentos que tengo. La información puede variar según disponibilidad y actualización comercial. Te recomiendo validarlo directamente con un asesor del proyecto.  

Si quier...",descartar,dato_dinamico_comercial
Punta Cuerna,2026-06-02,Precio de las propiedades ,"No cuento con información específica de precios en los documentos del proyecto.  

La información de costos, promociones y disponibilidad puede variar según la etapa comercial, por lo que te recomiendo validarlo directam...",descartar,dato_dinamico_comercial
Punta Cuerna,2026-06-02,Hola me gustaria saber el precio de las casas,"Por ahora no tengo en los documentos oficiales el rango de precios de las casas de Punta Cuerna Residencial.  

La información de precios puede variar según la etapa del proyecto y la disponibilidad, así que lo más segur...",descartar,dato_dinamico_comercial
Punta Cuerna,2026-06-02,Precios,"No cuento con información específica de precios en los documentos disponibles.  

La información de costos, promociones y disponibilidad puede variar según la etapa comercial, así que es muy importante validarla directam...",descartar,dato_dinamico_comercial
Punta Cuerna,2026-06-02,cual es son los precios?,"No cuento con información de precios en los documentos que tengo disponibles.  

La información de costos, promociones y disponibilidad puede variar según la etapa del proyecto y las actualizaciones comerciales, así que ...",descartar,dato_dinamico_comercial
Punta Cuerna,2026-06-02,hay alguna residencia con 4 recámaras?,"En los prototipos que tengo registrados para Punta Cuerna, la única residencia que llega a 4 recámaras es:

- **Casa Castilla**  
  - Planta alta: 1 recámara con baño completo + **2 recámaras adicionales** (en total 3 re...",descartar,respuesta_parcial_util
Punta Cuerna,2026-06-02,cuál es el precio de esta casa?,"No cuento con esa información confirmada en los documentos del proyecto.  

Los precios son información dinámica y pueden cambiar según la etapa y la disponibilidad, así que es muy importante validarlos directamente con ...",descartar,dato_dinamico_comercial
Punta Cuerna,2026-06-02,precio,"No cuento con información de precios en los documentos del proyecto.  

La información de precios puede variar según la etapa y la disponibilidad, así que te recomiendo validarlo directamente con un asesor comercial de P...",descartar,dato_dinamico_comercial
Punta Cuerna,2026-06-02,Qué precios tienen los departamentos ,"No cuento con información de precios en los documentos que tengo disponibles.  

La información de costos y disponibilidad de los departamentos es dinámica y puede cambiar según la etapa del proyecto, por lo que es impor...",mantener_brecha,brecha_accionable
Punta Cuerna,2026-06-02,Precios,"No cuento con información específica de precios en los documentos que tengo.  

La información de precios puede variar según la etapa del proyecto y la disponibilidad, y está sujeta a actualización. Te recomiendo validar...",descartar,dato_dinamico_comercial
Punta Cuerna,2026-06-03,Costos de la casa y el departamento ,"No cuento con información de costos o rangos de precios en los documentos que tengo disponibles.  

La información de precios puede variar según la etapa del proyecto y la disponibilidad, así que te recomiendo validarlo ...",descartar,dato_dinamico_comercial
Punta Cuerna,2026-06-03,Los departamentos que precio tendrán a la venta?,"No cuento con información de precios en los documentos del proyecto.  

Además, los precios son información dinámica y pueden cambiar según la etapa y la disponibilidad, así que es algo que siempre se valida directo con ...",descartar,dato_dinamico_comercial
